Date,Open,High,Low,Close
12/31/2010,"1,256.76","1,259.34","1,254.19","1,257.64"
12/30/2010,"1,259.44","1,261.09","1,256.32","1,257.88"
12/29/2010,"1,258.78","1,262.60","1,258.78","1,259.78"
12/28/2010,"1,259.10","1,259.90","1,256.22","1,258.51"
12/27/2010,"1,254.66","1,258.43","1,251.48","1,257.54"
12/23/2010,"1,257.53","1,258.59","1,254.05","1,256.77"
12/22/2010,"1,254.94","1,259.39","1,254.94","1,258.84"
12/21/2010,"1,249.43","1,254.61","1,249.43","1,254.60"
12/20/2010,"1,245.76","1,250.20","1,241.51","1,247.08"
12/17/2010,"1,243.63","1,245.81","1,239.87","1,243.91"
12/16/2010,"1,236.34","1,243.75","1,232.85","1,242.87"
12/15/2010,"1,241.58","1,244.25","1,234.01","1,235.23"
12/14/2010,"1,241.84","1,246.59","1,238.17","1,241.59"
12/13/2010,"1,242.52","1,246.73","1,240.34","1,240.46"
12/10/2010,"1,233.85","1,240.40","1,232.58","1,240.40"
12/09/2010,"1,230.14","1,234.71","1,226.85","1,233.00"
12/08/2010,"1,225.02","1,228.93","1,219.50","1,228.28"
12/07/2010,"1,227.25","1,235.05","1,223.25","1,223.75"
12/06/2010,"1,223.87","1,225.80","1,220.67","1,223.12"
12/03/2010,"1,219.93","1,225.57","1,216.82","1,224.71"
12/02/2010,"1,206.81","1,221.89","1,206.81","1,221.53"
12/01/2010,"1,186.60","1,207.61","1,186.60","1,206.07"
11/30/2010,"1,182.96","1,187.40","1,174.14","1,180.55"
11/29/2010,"1,189.08","1,190.34","1,173.64","1,187.76"
11/26/2010,"1,194.16","1,194.16","1,186.93","1,189.40"
11/24/2010,"1,183.70","1,198.62","1,183.70","1,198.35"
11/23/2010,"1,192.51","1,192.51","1,176.91","1,180.73"
11/22/2010,"1,198.07","1,198.94","1,184.58","1,197.84"
11/19/2010,"1,196.12","1,199.97","1,189.44","1,199.73"
11/18/2010,"1,183.75","1,200.29","1,183.75","1,196.69"
11/17/2010,"1,178.33","1,183.56","1,175.82","1,178.59"
11/16/2010,"1,194.79","1,194.79","1,173.00","1,178.34"
11/15/2010,"1,200.44","1,207.43","1,197.15","1,197.75"
11/12/2010,"1,209.07","1,210.50","1,194.08","1,199.21"
11/11/2010,"1,213.04","1,215.45","1,204.49","1,213.54"
11/10/2010,"1,213.14","1,218.75","1,204.33","1,218.71"
11/09/2010,"1,223.59","1,226.84","1,208.94","1,213.40"
11/08/2010,"1,223.24","1,224.57","1,217.55","1,223.25"
11/05/2010,"1,221.20","1,227.08","1,220.29","1,225.85"
11/04/2010,"1,198.34","1,221.25","1,198.34","1,221.06"
11/03/2010,"1,193.79","1,198.30","1,183.56","1,197.96"
11/02/2010,"1,187.86","1,195.88","1,187.86","1,193.57"
